study_id,site_id,crop,biome_num,management,sampling_year,log_vr_large,log_vr_small,plot_id,log_vr_total
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Bramlett,Prunus dulcis,12,0,2009,-0.393042588109605,1.0473189942805616,Plot_92,1.2383742310432708
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Etters,Prunus dulcis,12,0,2009,-2.59026716544582,-0.6443570163905107,Plot_93,-0.6443570163905107
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Full Belly,Prunus dulcis,12,0,2009,-0.393042588109605,0.04879016416943458,Plot_94,0.5007752879124917
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Laury,Prunus dulcis,12,0,2009,-1.20397280432593,0.5452270504833255,Plot_95,0.6678293725756579
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,T&P3,Prunus dulcis,12,0,2009,-2.59026716544582,-0.7985076962177691,Plot_102,-0.7985076962177691
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Taber,Prunus dulcis,8,0,2009,-1.89711998488588,-0.3930425881096047,Plot_103,-0.2876820724517784
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Tim Mueller 1,Prunus dulcis,12,0,2009,-1.20397280432593,-0.025317807984287392,Plot_104,0.18232155679395717
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Tim Mueller 2,Prunus dulcis,12,0,2009,-2.59026716544582,-0.9808292530117237,Plot_105,-0.9808292530117237
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF2,Coffea arabica,1,0,2011-2012,-5.13579843705026,-3.5263605246161616,Plot_106,-3.5263605246161616
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF3,Coffea arabica,1,0,2011-2012,-5.13579843705026,-3.3440389678222067,Plot_107,-3.3440389678222067
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF4,Coffea arabica,7,0,2011-2012,-5.13579843705026,-5.135798437050262,Plot_108,-5.135798437050262
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF5,Coffea arabica,1,0,2011-2012,-5.13579843705026,-4.442651256490317,Plot_109,-4.442651256490317
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM1,Coffea arabica,1,3,2011-2012,-5.13579843705026,-3.1898882879949486,Plot_110,-3.1898882879949486
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM2,Coffea arabica,7,3,2011-2012,-5.13579843705026,-2.6508917872622613,Plot_111,-2.6508917872622613
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM4,Coffea arabica,1,3,2011-2012,-5.13579843705026,-1.3071570405611668,Plot_112,-1.3071570405611668
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN1,Coffea arabica,7,0,2011-2012,-5.13579843705026,-4.442651256490317,Plot_114,-4.442651256490317
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN2,Coffea arabica,1,0,2011-2012,-5.13579843705026,-4.037186148382152,Plot_115,-4.037186148382152
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN4,Coffea arabica,7,0,2011-2012,-5.13579843705026,-3.7495040759303713,Plot_117,-3.7495040759303713
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_1,Malus domestica,4,0,2019,-3.40119738166216,-2.5902671654458267,Plot_2861,-2.3025850929940455
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_10,Malus domestica,4,0,2019,-4.78749174278205,-3.6888794541139363,Plot_2870,-3.6888794541139363
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_11,Malus domestica,4,0,2019,-2.07944154167984,-1.6094379124341003,Plot_2871,-1.1499055830556604
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_12,Malus domestica,4,0,2019,-2.84158159372673,-2.70805020110221,Plot_2872,-2.1484344131667874
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_13,Malus domestica,4,0,2019,-2.84158159372673,-2.222542385320509,Plot_2873,-1.8430527636156055
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_14,Malus domestica,4,0,2019,-3.40119738166216,-3.6888794541139363,Plot_2874,-2.995732273553991
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_2,Malus domestica,4,0,2019,-2.14843441316679,-3.6888794541139363,Plot_2862,-2.0149030205422647
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_3,Malus domestica,4,0,2019,-1.89711998488588,-2.70805020110221,Plot_2863,-1.5686159179138452
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_4,Malus domestica,4,0,2019,-2.59026716544583,-2.70805020110221,Plot_2864,-2.0149030205422647
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_5,Malus domestica,4,0,2019,-2.99573227355399,-2.995732273553991,Plot_2865,-2.3895964699836756
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_6,Malus domestica,4,0,2019,-2.30258509299405,-3.6888794541139363,Plot_2866,-2.1484344131667874
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_7,Malus domestica,4,0,2019,-3.17805383034795,-3.6888794541139363,Plot_2867,-2.841581593726733
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_8,Malus domestica,4,0,2019,-2.38959646998368,-2.841581593726733,Plot_2868,-1.9542783987258299
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_9,Malus domestica,4,0,2019,-3.68887945411394,-2.4849066497880004,Plot_2869,-2.3025850929940455
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,Prunus avium,4,0,2019,-2.70805020110221,-2.5902671654458267,Plot_2845,-2.0149030205422647
