study_id,site_id,crop,biome_num,management,sampling_year,log_vr_large,log_vr_small,plot_id,log_vr_total,global_regressor_V0
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Bramlett,Prunus dulcis,12,0,2009,-0.393042588109605,1.0473189942805616,Plot_92,1.2383742310432708,-0.52688736
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Etters,Prunus dulcis,12,0,2009,-2.59026716544582,-0.6443570163905107,Plot_93,-0.6443570163905107,-1.6486667
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Full Belly,Prunus dulcis,12,0,2009,-0.393042588109605,0.0487901641694345,Plot_94,0.5007752879124917,-1.650737
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Laury,Prunus dulcis,12,0,2009,-1.20397280432593,0.5452270504833255,Plot_95,0.6678293725756579,-0.52931505
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,T&P3,Prunus dulcis,12,0,2009,-2.59026716544582,-0.7985076962177691,Plot_102,-0.7985076962177691,-1.0061274
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Taber,Prunus dulcis,8,0,2009,-1.89711998488588,-0.3930425881096047,Plot_103,-0.2876820724517784,-0.7591203
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Tim Mueller 1,Prunus dulcis,12,0,2009,-1.20397280432593,-0.0253178079842873,Plot_104,0.1823215567939571,-2.5114546
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Tim Mueller 2,Prunus dulcis,12,0,2009,-2.59026716544582,-0.9808292530117236,Plot_105,-0.9808292530117236,-2.1009507
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF2,Coffea arabica,1,0,2011-2012,-5.13579843705026,-3.5263605246161616,Plot_106,-3.5263605246161616,-3.5871568
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF3,Coffea arabica,1,0,2011-2012,-5.13579843705026,-3.3440389678222067,Plot_107,-3.3440389678222067,-3.6258402
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF4,Coffea arabica,7,0,2011-2012,-5.13579843705026,-5.135798437050262,Plot_108,-5.135798437050262,-2.8123286
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF5,Coffea arabica,1,0,2011-2012,-5.13579843705026,-4.442651256490317,Plot_109,-4.442651256490317,-3.721437
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM1,Coffea arabica,1,3,2011-2012,-5.13579843705026,-3.1898882879949486,Plot_110,-3.1898882879949486,-3.0747075
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM2,Coffea arabica,7,3,2011-2012,-5.13579843705026,-2.6508917872622613,Plot_111,-2.6508917872622613,-2.7570214
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM4,Coffea arabica,1,3,2011-2012,-5.13579843705026,-1.3071570405611668,Plot_112,-1.3071570405611668,-3.2380056
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN1,Coffea arabica,7,0,2011-2012,-5.13579843705026,-4.442651256490317,Plot_114,-4.442651256490317,-3.2091205
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN2,Coffea arabica,1,0,2011-2012,-5.13579843705026,-4.037186148382152,Plot_115,-4.037186148382152,-4.6235676
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN4,Coffea arabica,7,0,2011-2012,-5.13579843705026,-3.7495040759303713,Plot_117,-3.7495040759303713,-2.7178657
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_1,Malus domestica,4,0,2019,-3.40119738166216,-2.5902671654458267,Plot_2861,-2.302585092994045,-2.195316
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_10,Malus domestica,4,0,2019,-4.78749174278205,-3.688879454113936,Plot_2870,-3.688879454113936,-3.234177
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_11,Malus domestica,4,0,2019,-2.07944154167984,-1.6094379124341005,Plot_2871,-1.1499055830556604,-2.0353189
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_12,Malus domestica,4,0,2019,-2.84158159372673,-2.70805020110221,Plot_2872,-2.1484344131667874,-1.7393836
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_13,Malus domestica,4,0,2019,-2.84158159372673,-2.222542385320509,Plot_2873,-1.843052763615605,-2.5383863
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_14,Malus domestica,4,0,2019,-3.40119738166216,-3.688879454113936,Plot_2874,-2.995732273553991,-2.7988486
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_2,Malus domestica,4,0,2019,-2.14843441316679,-3.688879454113936,Plot_2862,-2.0149030205422647,-2.7014742
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_3,Malus domestica,4,0,2019,-1.89711998488588,-2.70805020110221,Plot_2863,-1.5686159179138452,-2.5752358
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_4,Malus domestica,4,0,2019,-2.59026716544583,-2.70805020110221,Plot_2864,-2.0149030205422647,-2.3739967
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_5,Malus domestica,4,0,2019,-2.99573227355399,-2.995732273553991,Plot_2865,-2.389596469983676,-2.881529
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_6,Malus domestica,4,0,2019,-2.30258509299405,-3.688879454113936,Plot_2866,-2.1484344131667874,-2.8945532
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_7,Malus domestica,4,0,2019,-3.17805383034795,-3.688879454113936,Plot_2867,-2.841581593726733,-3.1856537
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_8,Malus domestica,4,0,2019,-2.38959646998368,-2.841581593726733,Plot_2868,-1.9542783987258296,-2.2998366
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_9,Malus domestica,4,0,2019,-3.68887945411394,-2.4849066497880004,Plot_2869,-2.302585092994045,-3.1518211
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,Prunus avium,4,0,2019,-2.70805020110221,-2.5902671654458267,Plot_2845,-2.0149030205422647,-2.7372084
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_10,Prunus avium,4,0,2019,-3.40119738166216,-2.302585092994045,Plot_2854,-2.079441541679836,-2.1867692
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_11,Prunus avium,4,0,2019,-4.0943445622221,-2.222542385320509,Plot_2855,-2.1484344131667874,-2.5117157
