study_id,old_site_id,crop,biome_num,management,sampling_year,log_vr_large,log_vr_small,log_vr_large_alf,log_vr_small_alf,log_vr_total_alf
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Bramlett,Prunus dulcis,12,0,2009,-0.393042588109605,1.04731899428056,-0.3930425881096047,1.0473189942805616,1.2383742310432708
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Etters,Prunus dulcis,12,0,2009,-2.59026716544582,-0.644357016390511,-2.590267165445824,-0.6443570163905107,-0.6443570163905107
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Full Belly,Prunus dulcis,12,0,2009,-0.393042588109605,0.0487901641694346,-0.3930425881096047,0.04879016416943458,0.5007752879124917
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Laury,Prunus dulcis,12,0,2009,-1.20397280432593,0.545227050483326,-1.2039728043259335,0.5452270504833255,0.6678293725756579
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,T&P3,Prunus dulcis,12,0,2009,-2.59026716544582,-0.798507696217769,-2.590267165445824,-0.7985076962177691,-0.7985076962177691
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Taber,Prunus dulcis,8,0,2009,-1.89711998488588,-0.393042588109605,-1.8971199848858789,-0.3930425881096047,-0.2876820724517784
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Tim Mueller 1,Prunus dulcis,12,0,2009,-1.20397280432593,-0.0253178079842874,-1.2039728043259335,-0.025317807984287392,0.18232155679395717
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Tim Mueller 2,Prunus dulcis,12,0,2009,-2.59026716544582,-0.980829253011724,-2.590267165445824,-0.9808292530117237,-0.9808292530117237
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF2,Coffea arabica,1,0,2011-2012,-5.13579843705026,-3.34403896782221,-5.135798437050262,-3.5263605246161616,-3.5263605246161616
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF3,Coffea arabica,1,0,2011-2012,-5.13579843705026,-3.05635689537043,-5.135798437050262,-3.3440389678222067,-3.3440389678222067
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF4,Coffea arabica,7,0,2011-2012,-5.13579843705026,-3.74950407593037,-5.135798437050262,-5.135798437050262,-5.135798437050262
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,COF5,Coffea arabica,1,0,2011-2012,-5.13579843705026,-3.74950407593037,-5.135798437050262,-4.442651256490317,-4.442651256490317
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM1,Coffea arabica,1,3,2011-2012,-5.13579843705026,-3.18988828799495,-5.135798437050262,-3.1898882879949486,-3.1898882879949486
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM2,Coffea arabica,7,3,2011-2012,-5.13579843705026,-2.42774823594805,-5.135798437050262,-2.6508917872622613,-2.6508917872622613
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,HOM4,Coffea arabica,1,3,2011-2012,-5.13579843705026,-1.30715704056117,-5.135798437050262,-1.3071570405611668,-1.3071570405611668
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN1,Coffea arabica,7,0,2011-2012,-5.13579843705026,-3.52636052461616,-5.135798437050262,-4.442651256490317,-4.442651256490317
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN2,Coffea arabica,1,0,2011-2012,-5.13579843705026,-4.03718614838215,-5.135798437050262,-4.037186148382152,-4.037186148382152
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,SUN4,Coffea arabica,7,0,2011-2012,-5.13579843705026,-3.74950407593037,-5.135798437050262,-3.7495040759303713,-3.7495040759303713
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_1,Malus domestica,4,0,2019,-3.40119738166216,-2.484906649788,-3.4011973816621555,-2.5902671654458267,-2.3025850929940455
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_10,Malus domestica,4,0,2019,-4.78749174278205,-3.40119738166216,-4.787491742782046,-3.6888794541139363,-3.6888794541139363
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_11,Malus domestica,4,0,2019,-2.07944154167984,-1.49165487677772,-2.0794415416798357,-1.6094379124341003,-1.1499055830556604
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_12,Malus domestica,4,0,2019,-2.84158159372673,-2.59026716544583,-2.841581593726733,-2.70805020110221,-2.1484344131667874
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_13,Malus domestica,4,0,2019,-2.84158159372673,-2.22254238532051,-2.841581593726733,-2.222542385320509,-1.8430527636156055
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_14,Malus domestica,4,0,2019,-3.40119738166216,-3.40119738166216,-3.4011973816621555,-3.6888794541139363,-2.995732273553991
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_2,Malus domestica,4,0,2019,-2.14843441316679,-3.40119738166216,-2.1484344131667874,-3.6888794541139363,-2.0149030205422647
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_3,Malus domestica,4,0,2019,-1.89711998488588,-2.70805020110221,-1.8971199848858813,-2.70805020110221,-1.5686159179138452
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_4,Malus domestica,4,0,2019,-2.59026716544583,-2.484906649788,-2.5902671654458267,-2.70805020110221,-2.0149030205422647
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_5,Malus domestica,4,0,2019,-2.99573227355399,-2.99573227355399,-2.995732273553991,-2.995732273553991,-2.3895964699836756
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_6,Malus domestica,4,0,2019,-2.30258509299405,-3.68887945411394,-2.3025850929940455,-3.6888794541139363,-2.1484344131667874
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_7,Malus domestica,4,0,2019,-3.17805383034795,-3.68887945411394,-3.1780538303479458,-3.6888794541139363,-2.841581593726733
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_8,Malus domestica,4,0,2019,-2.38959646998368,-2.484906649788,-2.3895964699836756,-2.841581593726733,-1.9542783987258299
Ariza_etal_apple_Belgium_2019,Ariza_etal_2019_9,Malus domestica,4,0,2019,-3.68887945411394,-2.484906649788,-3.6888794541139363,-2.4849066497880004,-2.3025850929940455
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,Prunus avium,4,0,2019,-2.70805020110221,-2.14843441316679,-2.70805020110221,-2.5902671654458267,-2.0149030205422647
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_10,Prunus avium,4,0,2019,-3.40119738166216,-2.01490302054226,-3.4011973816621555,-2.3025850929940455,-2.0794415416798357
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_11,Prunus avium,4,0,2019,-4.0943445622221,-2.07944154167984,-4.0943445622221,-2.222542385320509,-2.1484344131667874
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_12,Prunus avium,4,0,2019,-4.78749174278205,-0.817199829229924,-4.787491742782046,-0.8754687373538999,-0.8754687373538999
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_13,Prunus avium,4,0,2019,-2.07944154167984,-0.780158557549575,-2.0794415416798357,-0.8556661100577202,-0.6131044728864089
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_14,Prunus avium,4,0,2019,-4.0943445622221,-2.14843441316679,-4.0943445622221,-2.222542385320509,-2.1484344131667874
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_15,Prunus avium,4,0,2019,-3.40119738166216,-3.40119738166216,-3.4011973816621555,-3.6888794541139363,-2.995732273553991
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_16,Prunus avium,4,0,2019,-2.84158159372673,-1.74296930505862,-2.841581593726733,-2.0794415416798357,-1.742969305058623
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,Prunus avium,4,0,2019,-2.99573227355399,-2.14843441316679,-2.995732273553991,-2.70805020110221,-2.222542385320509
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,Prunus avium,4,0,2019,-2.30258509299405,-1.32175583998232,-2.3025850929940455,-1.420195912795572,-1.0986122886681098
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,Prunus avium,4,0,2019,-1.74296930505862,-2.30258509299405,-1.742969305058623,-2.4849066497880004,-1.3862943611198906
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_5,Prunus avium,4,0,2019,-3.40119738166216,-1.95427839872583,-3.4011973816621555,-2.3025850929940455,-2.0794415416798357
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_6,Prunus avium,4,0,2019,-4.0943445622221,-0.393042588109607,-4.0943445622221,-0.3930425881096072,-0.38077249551779285
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_7,Prunus avium,4,0,2019,-4.0943445622221,-2.99573227355399,-4.0943445622221,-3.1780538303479458,-2.995732273553991
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_8,Prunus avium,4,0,2019,-3.68887945411394,-2.70805020110221,-3.6888794541139363,-2.995732273553991,-2.70805020110221
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_9,Prunus avium,4,0,2019,-3.17805383034795,-2.84158159372673,-3.1780538303479458,-3.6888794541139363,-2.841581593726733
Betina_Blochtein_Brassica_napus_Brazil_2011,L 1 Snitowski,Brassica napus,1,0,2011,-5.59842195899838,-3.80666248977032,-5.598421958998375,-3.8066624897703196,-3.8066624897703196
Betina_Blochtein_Brassica_napus_Brazil_2011,L 6 Sr. Donadel,Brassica napus,1,0,2011,-5.59842195899838,-3.65251180994306,-5.598421958998375,-3.6525118099430616,-3.6525118099430616
Betina_Blochtein_Brassica_napus_Brazil_2011,L2 Snitowski,Brassica napus,1,0,2011,-5.59842195899838,-3.11351530921037,-5.598421958998375,-3.1135153092103742,-3.1135153092103742
Betina_Blochtein_Brassica_napus_Brazil_2011,L3 Karlec,Brassica napus,1,0,2011,-4.90527477843843,-3.11351530921037,-4.90527477843843,-3.1135153092103742,-3.033472601536838
Betina_Blochtein_Brassica_napus_Brazil_2011,L4 Rupp,Brassica napus,7,0,2011,-5.59842195899838,-2.26621744882317,-5.598421958998375,-2.2662174488231708,-2.2662174488231708
Betina_Blochtein_Brassica_napus_Brazil_2011,L5 Sr. Rupp,Brassica napus,7,0,2011,-5.59842195899838,-4.21212759787848,-5.598421958998375,-4.212127597878484,-4.212127597878484
Bryony_Willcox_Macadamia_integrifolia_Australia_2016,mac_3,Macadamia integrifolia,4,0,2016,-4.9416424226093,-2.74441784527309,-4.941642422609305,-4.941642422609305,-4.941642422609305
Bryony_Willcox_Macadamia_integrifolia_Australia_2016,mac_5,Macadamia integrifolia,4,0,2016,-4.9416424226093,-4.24849524204936,-4.941642422609305,-4.941642422609305,-4.941642422609305
Bryony_Willcox_Mangifera_indica_Australia_2016,mango10,Mangifera indica,7,0,2016,-5.48063892334199,-2.53619994417555,-5.480638923341991,-3.1780538303479458,-3.1780538303479458
